filename,speaker
/content/drive/My Drive/spectrogram/data/wav/id11251/Tmh87G_cDZo/00004.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/5-6lI5JQtb8/00004.wav,id11251
/home/jena/Desktop/FYP/vox1_dev_wav_partaa/wav/id11251/Tmh87G_cDZo/00004.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/D315UgvvDbc/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/7GtZpUtReJ8/00005.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/gFfcgOVmiO0/00005.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/Tmh87G_cDZo/00002.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/gFfcgOVmiO0/00002.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/5-6lI5JQtb8/00002.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/gFfcgOVmiO0/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/gFfcgOVmiO0/00006.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/7GtZpUtReJ8/00003.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/7GtZpUtReJ8/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/s4R4hvqrhFw/00008.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/Dfid1LOxOT8/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/s4R4hvqrhFw/00009.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/aLb6hifKTLg/00003.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/s4R4hvqrhFw/00007.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/Drcw9TLFNb0/00003.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/7GtZpUtReJ8/00004.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/Tmh87G_cDZo/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/5-6lI5JQtb8/00005.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/WbB8m9-wlIQ/00002.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/s4R4hvqrhFw/00004.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/s4R4hvqrhFw/00005.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/Drcw9TLFNb0/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/aLb6hifKTLg/00004.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/aLb6hifKTLg/00001.wav,id11251
/content/drive/My Drive/spectrogram/data/wav/id11251/gFfcgOVmiO0/00007.wav,id11251
